"COMP","PLOT","TREEID","TAG","STATUS","SPECIES","TS","LOCATION","DISTANCE","dbh_cm","height_m","htcb_m","decay"
"C","C-026","C-026-NW-13.6-1.86",NA,"D","ABCO","NW",13.6,1.86,23,15.4,NA,"1"
"C","C-026","C-026-NW-8.6-4.98","21","D","ABCO","NW",8.6,4.98,27.4,18.7,NA,"1"
"C","C-026","C-026-NW-6.7-1.61","26","L","ABCO","NW",6.7,1.61,25.4,18,5.4,NA
"C","C-026","C-026-NW-6.28-0.79",NA,"L","ABCO","NW",6.28,0.79,7.8,5.4,2,NA
"C","C-026","C-026-NW-5.19-3.5","18","D","CADE","NW",5.19,3.5,14.7,6.6,NA,"1"
"C","C-026","C-026-NW-4.63-3.59","17","L","CADE","NW",4.63,3.59,36.2,17.7,4.9,NA
"C","C-026","C-026-NW-0.78-2.03","14","L","ABCO","NW",0.78,2.03,65.8,30.4,11.7,NA
"C","C-026","C-026-SW-0.85-0.73","28","L","ABCO","SW",0.85,0.73,6.5,3.5,1.6,NA
"C","C-026","C-026-SW-6.6-0.91",NA,"L","QUKE","SW",6.6,0.91,3.8,4.5,3.1,NA
"C","C-026","C-026-SW-8.84-4.38",NA,"L","CADE","SW",8.84,4.38,49.8,19.5,6.1,NA
"C","C-026","C-026-SW-9.55-1.21","10","L","CADE","SW",9.55,1.21,35.7,17.6,6,NA
"C","C-026","C-026-SW-9.7-0",NA,"L","ABCO","SW",9.7,0,11.8,8.3,3,NA
"C","C-026","C-026-SW-10.14-2.35",NA,"L","CADE","SW",10.14,2.35,31.4,15.4,3.5,NA
"C","C-026","C-026-SE-13.6-3.24",NA,"L","CADE","SE",13.6,3.24,44.4,17.3,6.7,NA
"C","C-026","C-026-SE-12.1-3.97",NA,"L","CADE","SE",12.1,3.97,20.2,8,6.1,NA
"C","C-026","C-026-SE-7.75-0.32",NA,"L","ABCO","SE",7.75,0.32,10.5,5.6,3.5,NA
"C","C-026","C-026-SE-3.5-0.54","9","L","ABCO","SE",3.5,0.54,35.3,22.1,13.3,NA
"C","C-026","C-026-SE-2.67-2.17","24","L","ABCO","SE",2.67,2.17,21.5,12.7,4.9,NA
"C","C-026","C-026-SE-1.65-0.66","27","L","ABCO","SE",1.65,0.66,3.3,2.4,0.7,NA
"C","C-026","C-026-SE-0.85-0.32",NA,"L","ABCO","SE",0.85,0.32,1.8,2,0.9,NA
"C","C-026","C-026-NE-2.2-0.53",NA,"L","PILA","NE",2.2,0.53,1.4,1.9,0.3,NA
"C","C-026","C-026-NE-7.92-3.67","32","D","ABCO","NE",7.92,3.67,17.2,10.5,NA,"1"
"C","C-026","C-026-NE-10.4-0.84","1","L","CADE","NE",10.4,0.84,49.2,24.3,9.8,NA
"C","C-026","C-026-NE-11.98-4.96",NA,"L","ABCO","NE",11.98,4.96,54.1,27.7,5.7,NA
"C","C-026","C-026-WN-6.4-0.4",NA,"L","PIPO","WN",6.4,0.4,2.1,2.3,0.9,NA
"C","C-026","C-026-WN-7.7-4.9","16","L","PIPO","WN",7.7,4.9,104,43.4,16.8,NA
"C","C-026","C-026-WS-13.8-3.5",NA,"L","CADE","WS",13.8,3.5,22.9,7.2,3.4,NA
"C","C-026","C-026-WS-10.18-1.89",NA,"L","ABCO","WS",10.18,1.89,11.8,6.8,2.4,NA
"C","C-026","C-026-WS-10.83-2.89","31","L","ABCO","WS",10.83,2.89,16,8.9,2.6,NA
"C","C-026","C-026-ES-11.4-0.8","23","L","ABCO","ES",11.4,0.8,22.1,10.6,4,NA
"C","C-026","C-026-ES-11.1-1.2","100","L","CADE","ES",11.1,1.2,56.8,22.4,8.6,NA
"C","C-026","C-026-EN-13.7-4.6",NA,"L","CADE","EN",13.7,4.6,67.8,30,11.4,NA
"C","C-026","C-026-EN-10.1-0.8",NA,"L","ABCO","EN",10.1,0.8,3.7,2.8,0.9,NA
"C","C-026","C-026-EN-8.8-2.13","5","L","PSME","EN",8.8,2.13,52.3,30.7,12.6,NA
"C","C-026","C-026-EN-6.4-0.9",NA,"L","ABCO","EN",6.4,0.9,7.4,4.2,1.3,NA
"C","C-026","C-026-EN-5.4-0.6","6","L","CADE","EN",5.4,0.6,71.7,27.3,10.1,NA
"C","C-011","C-011-SW-3.4-2.2","12","L","CADE","SW",3.4,2.2,55.1,26.3,8.3,NA
"C","C-011","C-011-SW-4.7-3.5","1023","L","PSME","SW",4.7,3.5,12.3,11.8,8.9,NA
"C","C-011","C-011-SW-4.8-5","1024","L","CADE","SW",4.8,5,15.9,7.2,3.6,NA
"C","C-011","C-011-SW-6.4-0.1",NA,"L","ABCO","SW",6.4,0.1,5.2,4.7,3.8,NA
"C","C-011","C-011-SW-9.2-1.7","1021","L","PSME","SW",9.2,1.7,14.2,11.1,5.9,NA
"C","C-011","C-011-SW-10.8-0.4",NA,"D","ABCO","SW",10.8,0.4,4.4,3.8,NA,"1"
