"COMP","PLOT","p_ABCO","p_CADE","p_OTHER","p_PILA","p_PIPO","p_PSME","p_SEGI"
"A","A-001",0,0.448918199699178,0.090130741640634,0,0,0.460951058660187,0
"A","A-003",0.187042459736457,0.454795021961933,0.0743045387994144,0,0.208638360175695,0.0752196193265007,0
"A","A-005",0.096915695681974,0.428786840301576,0.0938999314599041,0,0.207950651130912,0.172446881425634,0
"A","A-020",0.264090480678605,0.326107445805843,0.159849198868992,0,0.0797360980207352,0.170216776625825,0
"A","A-023",0.205609027547295,0.45569200132758,0.10222369731165,0,0,0.236475273813475,0
"A","A-024",0.410153640614562,0.354041416165665,0.155199287463817,0,0,0.0806056557559564,0
"A","A-025",0,0.286805032799226,0.290031186149048,0,0.0790407570706528,0.344123023981073,0
"A","A-028",0.110631494804157,0.380815347721823,0.0191846522781775,0.0228617106314948,0.140847322142286,0.325659472422062,0
"B","B-008",0.249358791678541,0.132088914220576,0,0.344115132516386,0.119122257053292,0.155314904531205,0
"B","B-010",0,0.26199660546212,0.101836136398704,0.180064804814072,0.289615800030859,0.166486653294245,0
"B","B-013",0.169660678642715,0.306054557551564,0.053226879574185,0,0,0.471057884231537,0
"B","B-016",0.0709156193895871,0.550987432675045,0.177737881508079,0,0,0.200359066427289,0
"B","B-026",0.0390992835209826,0.172569089048106,0.230910951893552,0,0.362538382804504,0.0575230296827022,0.137359263050154
"C","C-010",0.152737752161383,0.469437281965721,0,0,0.152434400121341,0.225390565751555,0
"C","C-011",0.0528895768833849,0.535990712074303,0,0,0.11468008255934,0.296439628482972,0
"C","C-022",0.308031858746761,0.22684963055369,0.186066596295941,0.0955762402840418,0.110737933019864,0.0727377410997025,0
"C","C-025",0.266162888329135,0.339714525608732,0,0.054911838790932,0.229554995801847,0.109655751469353,0
"C","C-026",0.335255437531614,0.506626201315124,0,0,0.105209914011128,0.0529084471421346,0
